song_title,year,album,runtime,lyrics
Treat People With Kindness,2019,Fine Line,3:17,"Maybe we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good
I got a good feeling
I'm just takin' it all in
Floating up and dreamin'
Droppin' into the deep end
And if we're here long enough
They'll sing a song for us (ah-ah-ah-ah)
And we'll belong
Maybe we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good
Giving second chances
I don't need all the answers
Feeling good in my skin
I just keep on dancin'
And if we're here long enough
We'll see it's all for us
And we'll belong
Maybe we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good
And it's just another day (and it's just another day)
And if our friends all pass away (ah-ah, ah-ah)
It's okay (it's okay, it's okay, it's okay)
It's okay, it's okay, yeah!
Hey!
Here we go now
Maybe we can
Find a place to feel good
And we can treat people with kindness
Find a place to feel good
All we ever want is automatic all the time
All we ever want is auto all of the time
All we ever want is automatic all the time
All we ever want is auto all of the time
Maybe we can (all together now!)
(One more time!)
Find a place to feel good (oh yeah!)
And we can treat people with kindness (just a little bit of kindness)
Find a place to feel good (ow!)"
Fine Line,2019,Fine Line,6:18,"Put a price on emotion
I'm looking for something to buy
You've got my devotion
But man, I can hate you sometimes
I don't want to fight you
And I don't wanna sleep in the dirt
We'll get the drinks in
So I'll get to thinking of her
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
Test of my patience
There's things that we'll never know
You sunshine, you temptress
My hand's at risk, I fold
Crisp trepidation
I'll try to shake this soon
Spreading you open
Is the only way of knowing you
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be alright
We'll be alright
We'll be a fine line
We'll be a fine line
We'll be alright (alright, alright, alright)
We'll be alright
We'll be alright"
Medicine,Unknown,Unreleased,4:17,"Here to take my medicine, take my medicine
Treat you like a gentleman
Give me that adrenaline, that adrenaline
I think I'm gonna stick with you
Here to take my medicine, take my medicine
Rest it on your fingertips
Up to your mouth, feeling it out
Feeling it out
I had a few, got drunk on you and now I'm wasted
And when I sleep I'm gonna dream of how you tasted
If you go out tonight, I'm going out 'cause I know you're persuasive
You got that something, I got me an appetite, now I can taste it
We're getting dizzy, oh, we're getting dizzy, oh
La la la la la
You get me dizzy, oh, you get me dizzy, oh
Tingle running through my bones, fingers to my toes
Tingle running through my bones
The boys and the girls are in
I mess around with them
And I'm okay with it
I'm coming down, I figured out I kinda like it
And when I sleep I'm gonna dream of how you ride it
If you go out tonight, I'm going out 'cause I know you're persuasive
You got that something, I got me an appetite, now I can taste it
We're getting dizzy, oh, we're getting dizzy, oh
La la la la la
You get me dizzy, oh, you get me dizzy, oh
I had a few, got drunk on you and now I'm wasted
If you go out tonight, I'm going out 'cause I know you're persuasive
You got that something, I got me an appetite, now I can taste it
We're getting dizzy, oh, we're getting dizzy, oh
La la la la la
You get me dizzy, oh, you get me dizzy, oh"
Oh Anna,Unknown,Unreleased,2:54,"I don’t know where you're laying
Just know it's not with me
I don’t know what I'd tell you
If I passed you on the street
I don't want your sympathy
But you don't know what you do to me
Oh, Anna (Na-na-na-na, oh, Anna, na-na-na-na)
Every time I see your face
There's only so much I can take
Oh, Anna (Na-na-na-na) Oh, Anna (Na-na-na-na)
I don't know how you taste when
There's smoke in your perfume
So chew me up and spit me out
I've nothing left to lose
I don't want your sympathy
But you don't know what you do to me
Oh, Anna (Na-na-na-na) Oh, Anna (Na-na-na-na)
Every time I see your face
There's only so much I can take
Oh, Anna (Na-na-na-na, oh, Anna, na-na-na-na)
(Anna, you don't know)
(Anna, you don't know)
(Anna, you don't know)
You don't, you don't know now
(Anna, you don't know)
Never, never know (Never know)
(Anna, you don't know)
(Anna, you don't know)
I don't want your sympathy
But you don't know what you do to me
Oh, Anna (Na-na-na-na) Oh, Anna (Na-na-na-na)
Every time I see your face
There's only so much I can take
Oh, Anna (Na-na-na-na, oh, Anna, na-na-na-na)
I hope you never hear this
And know that it's for you
I don’t know how I'd tell you
If you asked me for the truth
I don't want your sympathy
But you never know what you do to me
Oh, Anna (Na-na-na-na) Oh, Anna (Na-na-na-na)
Every time I see your face
There's only so much I can take
Oh, Anna (Na-na-na-na) Oh, Anna (Na-na-na-na)
Oh, Anna
Oh, Anna
Ow!"
Baby Honey,Unknown,Unreleased,3:16,"Well I Think I Wrote A Song
That All Your Friends Are Gonna Like
But They'll Tell You That
They Hate It When They Don't
Just Because It's Mine
And I Swear That
I'm Not Thinking About You All The Time
It'll Only Take A Minute
Take A Listen
Maybe Change Your Mind
Now I'm Getting Over
Am I Getting Over You? (La La Na Na)
Now I'm Getting Over
Am I Getting Over You? (La La Na Na)
Now I'm Getting Over
Am I Getting Over You?
I Guess You'll Never Know, Oh!
Oh! I Know He Is Got The Money
Baby Honey Does He Make You Nine?
Is It True He Doesn't Touch You In The Place
The Way I Know You Like
And I Swear That
I'm Not Thinking About You All The Time
Just Today, Yesterday, Every Day And Tomorrow Night
Now I'm Getting Over
Am I Getting Over You? (La La Na Na)
Now I'm Getting Over
Am I Getting Over You? (La La Na Na)
Now I'm Getting Over
Am I Getting Over You?
I Guess We'll Never Know, Ow
I Swear I'm Not Thinking About You Now
(Over, Over, Over, Over)
I Swear I'm Not Thinking About You Now
(Over, Over, Over, Over)
Now I'm Getting Over
Am I Getting Over You?
I Guess We'll Never Know, Aye!
Ha!"
Complicated Freak,Unknown,Unreleased,4:02,"She got wrapped up in somebody else
I’m wrapped up stuck in love with myself
I never saw this coming around
But I miss, her skin on me now
Tip of my tongue she’s pulling my hair
I do what she wants anywhere
Back seat of the car and up in the air
But I miss how kissed everywhere
I can’t get you off my mind
I can’t get you off my mind
I still crave it, complicated freak
I still crave it, complicated freak
I still crave it, complicated
Freak
Turned up too late one too many times
Bad choice of words in my alibi
I guess I love crazy, out of your mind
You lost your head so ill give you mine
I can’t get you off my mind
I can’t get you off my mind
I still crave it, complicated freak
I still crave it, complicated freak
I still crave it, complicated
Freak
She got wrapped up in somebody else
I’m wrapped up stuck in love with myself (ha)
I can’t get you off my mind
I can’t get you off my mind
I still crave it, complicated freak
I still crave it, complicated freak
I still crave it, complicated
Freak"
Him,Unknown,Unreleased,3:33,"So You Were Right, There's Always Two
The One Who Stays And The One Who's Leaving You
Hear Me Out, My Apologies
'Cause I'm Not Here For Sympathy
'Cause I Don't Wanna Hear About Him
How He Is Holding You Better At Night
And I Don't Wanna Hear About Him
In These Songs You Continue To Write
I Was With You When You Wrote That Line
It Was Me That You Had On Your Mind
So I Don't Wanna Hear About Him
That Nice Dress In My Wildest Dreams
The Lipstick Stains You Left Still On My Sheets
When I Hear ""Amazing Eyes""
It Breaks My Heart Every Time
'Cause I Don't Wanna Hear About Him
How He Is Holding You Better At Night
And I Don't Wanna Hear About Him
In These Songs You Continue To Write
I Was With You When You Wrote That Line
It Was Me That You Had On Your Mind
So I Don't Wanna Hear About Him
Do You Know What It's Like
To Fall In Love From The Outside?
And I Don't Know
But I've Been Trying For You, For Me
Now I Know What It's Like
To Fall In Love From The Outside
'Cause I Don't Wanna Hear About Him
How He Is Holding You Better At Night
I Don't Wanna Hear About Him
And These Songs You Continue To Write
I Was With You When You Wrote That Line
It Was Me That You Had On Your Mind
I Don't Wanna Hear About Him
Is He Holding You Better At Night?
Is It Me Running Into Your Mind?
I Still Think About You All The Time"
Someday Maybe,Unknown,Unreleased,2:51,"You'd rather leave it broken
Then own an empty heart
We were better left unspoken
Than a million miles apart
It's torture here in this space between
As you're loving and leaving me
You say there's nothing left to fight for
'Cause it feels like too much
Your heart is afraid to want more
Of the pain you left to touch
You only win if you don't give up
'Cause love is war and war is love
Trying to give up on perfect
And your battle of one
Trying to believe you were there
When every piece of you wants to run
So now that you're caught in this space between
And you're the only enemy
You say there's nothing left to fight for
'Cause it feels like too much
Your heart is afraid to want more
Of the pain you left to touch
You only win if you don't give up
'Cause love is war and war is love
You say there's nothing left to fight for
'Cause it feels like too much
Your heart is too afraid to want more
Of the pain you left to touch
You only win if you don't give up
When everything won't be enough
'Cause love is war and war is love"
Music for a Sushi Restaurant,2022,Harry's House,3:14,"(Mine, mine, mine, mine, mine, mine)
Green eyes, fried rice
I could cook an egg on you
Late night, game time
Coffee on the stove, yeah
You're sweet ice cream
But you could use a flake or two
Blue bubblegum twisted round your tongue
I don't want you to get lost
I don't want you to go broke
I want you
It's 'cause I love you, babe
In every kind of way
Just a little taste
You know I love you, baby
""Excuse me, a green tea?""
Music for a sushi restaurant
From ice on rice
Music for a sushi restaurant
Music for a sushi restaurant
Music for whatever you want
I'm not going to get lost
I'm not going to go broke
Staying cool
You know I love you, babe
If the stars were edible
And our hearts were never full
Could we live with just a taste?
Just a taste
It's 'cause I love you, babe
In every kind of way
Just a little taste
You know I love you, baby"
Late Night Talking,2022,Harry's House,2:58,"Things haven't been quite the same
There's a haze on the horizon, babe
It's only been a couple of days and I miss you, yeah
And nothing really goes to plan
You stub your toe, I break your camera
I'd do everything I can to help you through
If you're feeling down, I just wanna make you happier, baby
Wish I was around, I just wanna make you happier, baby
We've been doing all this late night talking
About anything you wanted till the morning
Now you're in my life
I can't get you off my mind
I've never been a fan of change
But I'll follow you to any place
If it's Hollywood or Bishopsgate
I'm coming too
If you're feeling down, I just wanna make you happier, baby
Wish I was around, I just wanna make you happier, baby
We've been doing all this late night talking
About anything you wanted till the morning
Now you're in my life
I can't get you off my mind
Can't get you off my mind
Can't get you off my mind (Can't get you off my mind)
I won't even try (Try, try)
To get you off my mind (Get you off my mind)
We've been doing all this late night talking
About anything you wanted till the morning
Now you're in my life
I can't get you off my mind
Can't get you off my mind (All this late night talking)
Can't get you off my mind (All this late night talking)
I won't even try (All this late night talking)
Can't get you off my mind (All this late night talking)
All this late night talking
All this late night talking
All this late night talking
All this late night talking
Can't get you off my mind (All this late night talking)
Can't get you off my mind (All this late night talking)
I won't even try (All this late night talking)
Can't get you off my mind (All this late night talking)"
Grapejuice,2022,Harry's House,3:12,"One, two, three
One, two-
Yesterday, it finally came, a sunny afternoon
I was on my way to buy some flowers for you
Thought that we could hide away in a corner of the heath
There's never been someone who's so perfect for me
But I got over it and I said
""Give me something old and red""
I pay for it more than I did back then
There's just no getting through
Without you
A bottle of rouge
Just me and you
Sitting in the garden, I'm a couple glasses in
I was tryna count up all the places we've been
You're always there, so don't overthink
I'm so over whites and pinks
I pay for it more than I did back then
There's just no getting through
Without you
A bottle of rouge
Just me and you
1982
Just me and you
There's just no getting through
The grape juice blues
One, two, three
One, two, three
One, two, three
One"
As It Was,2022,Harry's House,3:47,"Come on, Harry, we wanna say goodnight to you
Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same
Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first
(Hey)
As it was
You know it's not the same as it was
As it was, as it was"
Daylight,2022,Harry's House,2:45,"I'm on the roof
You're in your airplane seat
I was nose bleeding
Looking for life out there
Reading your horoscope
You were just doing cocaine in my kitchen
You never listen
I hope you're missing me by now
If I was a bluebird
I would fly to you
You'd be the spoon
Dip you in honey so I could be sticking to you
Daylight
You got me cursing the daylight
Daylight
You got me cursing the daylight
Daylight
You've got me calling at all times
Ain't gonna sleep till the daylight
Out of New York
I'm on the come down speed
We're on bicycles
Saying there's life out there
You've got the antidote
I'll take one to go, go please
Get the picture
Cut out my middle
You ain't got time for me right now
If I was a bluebird
I would fly to you
You'd be the spoon
Dip you in honey so I could be sticking to you
Daylight
You've got me calling at all times
Ain't gonna sleep till the daylight
Daylight
You got me cursing the daylight
Daylight
You got me cursing the daylight
Daylight
You've got me calling at all times
Ain't gonna sleep till the daylight
If I was a blue bird
I would fly to you
You'd be the spoon
Dip you in honey so I could be sticking to you"
Little Freak,2022,Harry's House,3:23,"Little freak
Jezebel
You sit high atop the kitchen counter
Stay green a little while
You bring blue lights to dreams
Starry haze
Crystal ball
Somehow, you've become some paranoia
A wet dream just dangling
But your gift is wasted on me
I was thinking about who you are
Your delicate point of view
I was thinking about you
I'm not worried about where you are
Who you will go home to
I'm just thinking about you
Just thinking about you
Did you dress up for Halloween?
I spilled beer on your friend
I'm not sorry
A golf swing and a trampoline
Maybe we'll do this again
Tracksuit and a pony tail
You hide the body all that yoga gave you
Red wine and a ginger ale
But you would make fun of me for sure
I was thinking about who you are
Your delicate point of view
I was thinking about you
I'm not worried about where you are
Or who you will go home to
I'm just thinking about you
I disrespected you
Jumped in feet first and I landed too hard
A broken ankle
Karma rules
You never saw my birthmark
I was thinking about who you are
Your delicate point of view
I was thinking about you
I'm not worried about where you are
Or who you will go home to
I'm just thinking about you
Just thinking about you
Just thinking about you"
Matilda,2022,Harry's House,4:05,"You were riding your bike to the sound of It's No Big Deal
And you're trying to lift off the ground on those old two wheels
Nothing 'bout the way that you were treated ever seemed especially alarming till now
So you tie up your hair and you smile like it's no big deal
You can let it go
You can throw a party full of everyone you know
And not invite your family
'Cause they never showed you love
You don't have to be sorry for leaving and growing up
Matilda, you talk of the pain like it's all alright
But I know that you feel like a piece of you's dead inside
You showed me a power that is strong enough to bring sun to the darkest days
It's none of my business but it's just been on my mind
You can let it go
You can throw a party full of everyone you know
And not invite your family
'Cause they never showed you love
You don't have to be sorry for leaving and growing up
You can see the world
Following the seasons
Anywhere you go
You don't need a reason
'Cause they never showed you love
You don't have to be sorry for doing it on your own
You're just in time, make your tea and your toast
You framed all your posters and dyed your clothes
You don't have to go
You don't have to go home
Oh, there's a long way to go
I don't believe that time will change your mind
In other words
I know they won't hurt you anymore as long as you can let them go
You can let it go
You can throw a party full of everyone you know
You can start a family who will always show you love
You don't have to be sorry for doing it on your own
You can let it go
You can throw a party full of everyone you know
You can start a family who will always show you love
You don't have to be sorry, no"
Cinema,2022,Harry's House,4:03,"You got, you got the cinema
It's you
And I'm not getting over it
Darling, is it cool
If I'm stubborn when it comes to this?
I guess we're in time
If you're getting yourself wet for me
I guess you're all mine
When you're sleeping in this bed with me
I just think you're cool
I dig your cinema
Do you think I'm cool too?
Or am I too into you?
Tell me what you want and you got it, love
I want all of you
Gimme all you got
That's cinema
That's cinema, uh-huh
It's you
I don't know why but it feels so right to me
Something in the way you move
I like it when you dance for me
You all the time (Time, time)
In doses at night (Night, night)
No roof on the drive
Dust off the high
And go to sleep (Go to sleep, go to sleep)
I just think you're cool
I dig your cinema
Do you think I'm cool too?
Or am I too into you?
I just think you're cool
I dig your cinema
Do you think I'm cool too?
Or am I too into you? (Cinema)
Cinema
You got, you got
I bring the pop, you pop
You got, you got
I bring the pop
You got, you got the cinema
I bring the pop to the cinema, you pop
You got, you got the cinema
You got, you got the cinema
I bring the pop to the cinema
You pop when we get intimate
You got, you got the cinema
You got, you got the cinema (Cinema)
I bring the pop to the cinema
You pop when we get intimate (Baby, cinema)
You got, you got the cinema
You got, you got the cinema
I bring the pop to the cinema
You pop when we get intimate (Baby, you're cinema)
You got, you got the cinema
You got, you got the cinema
I bring the pop to the cinema
You pop when we get intimate (Baby, you're cinema)
You got, you got the cinema
You got, you got the cinema
I bring the pop to the cinema
You pop when we get intimate"
Daydreaming,2022,Harry's House,3:07,"Living in a daydream
She said, ""Love me like you paid me""
You know, I'll be gone for so long
So give me all of your love, give me something to dream about
Stay until the morning
'Cause baby, loving you's the real thing
It just feels right
When you give me all of your love, give me something to dream about
(All of your love, give me something to dream about)
So give me all of your love, give me something to dream about
Living in a daydream
Living in a daydream
Living in a daydream
Give me all of your love, give me something to dream about
Living in a daydream
Living in a daydream
Living in a daydream
Give me all of your love, give me something to dream about
Give me all of your love, give me something to dream about
Give me all of your love, give me something to dream about"
Keep Driving,2022,Harry's House,2:19,"Black and white film camera
Yellow sunglasses
Ash tray
Swimming pool
Hot wax
Jump off the roof
A small concern with how the engine sounds
We held darkness in withheld clouds
I would ask
""Should we just keep driving?""
Maple syrup
Coffee
Pancakes for two
Hash brown
Egg yolk
I will always love you
A small concern with how the engine sounds
We held darkness in withheld clouds
I would ask
""Should we just keep driving?""
Should we just keep driving?
Passports in foot wells
Kiss her and don't tells
Wine glass, puff pass
Tea with cyborgs
Riot America
Science and edibles
Life hacks going viral in the bathroom
Cocaine, side boob
Choke her with a sea view
Toothache, bad move
Just act normal
Mocha pot, Monday
It's all good, hey you
Should we just keep driving?
Should we just keep driving?
Should we just keep driving?"
Satellite,2022,Harry's House,3:37,"You got a new life
Am I bothering you?
Do you wanna talk?
We share the last line
Then we drink the wall
Till we wanna talk
I go round and round
Satellite
Spinning out, waiting for you to pull me in
I can see you're lonely down there
Don't you know that I am right here?
Spinning out, waiting for you to pull me in
I can see you're lonely down there
Don't you know that I am right here?
(Spinning out, waiting for you)
I'm in an LA Mood
I don't wanna talk to you
She said, ""Give me a day or two""
I go round and round
Satellite
Spinning out, waiting for you to pull me in
I can see you're lonely down there
Don't you know that I am right here?
Spinning out, waiting for you to pull me in
I can see you're lonely down there
Don't you know that I am right here?
Right here, right here
Spinning out, waiting for you
I'm here, right here
Wishing I could be there for you
Be there for you
Be there for you (For you)
For you
Be there for you
Spinning out, waiting for you to pull me in
(Spinning out, waiting)
I can see you're lonely down there
Don't you know that I am right here? (Spinning out, waiting for you)
Spinning out, waiting for you (For you) to pull me in (For you)
I can see you're lonely down there
Don't you know that I am right here?
Spinning out, waiting for you (For you) to pull me in (For you)
I can see you're lonely down there
Don't you know that I am right here? (Spinning out, waiting for you)"
Boyfriends,2022,Harry's House,3:12,"Boyfriends
They think you're so easy
They take you for granted
They don't know they're just misunderstanding you
You, you're back at it again
Weekend, when you get deep in
He starts secretly drinking
It gets hard to know what he's thinking
You love a fool who knows just how to get under your skin
You, you, you still open the door
You're no closer to him
Now you're halfway home
Only calling you in, don't wanna be alone, no
And you go, why? You don't know
Boyfriends
Are they just pretending?
They don't tell you where it's heading
And you know the gamе's never ending
You, you lay with him as you stay in a daydrеam
You feel a fool, you're back at it again
Ooh, ooh"
Love of My Life,2022,Harry's House,3:11,"Baby, you were the love of my life
Whoa
Maybe you don't know it's lost till you find it
Take a walk on Sunday through the afternoon
We can always find something for us to do
We don't really like what's on the news, but it's on all the time
Take you with me every time I go away
In a hotel using someone else's name
I remember back at Jonny's place
It's not the same anymore
Baby, you were the love of my life
Whoa
Maybe you don't know it's lost till you find it
It's not what I wanted
To leave you behind
Don't know where you'll land when you fly
But baby, you were the love of my life
It's unfortunate, ooh
Just coordinates, ooh
I don't know you half as well as all my friends
I won't pretend that I've been doing everything I can
To get to know your creases and your ends
Are they the same?
Baby, you were the love of my life
Whoa
Maybe you don't know it's lost till you find it
It's not what I wanted
To leave you behind
Don't know where you'll land when you fly
But baby, you were the love of my life"
