song_title,year,album,runtime,lyrics
Golden,2019,Fine Line,3:29,"Ha!
Golden, golden, golden as I open my eyes
Holding focus, hoping, take me back to the light
I know you were way too bright for me
I'm hopeless, broken, so you wait for me in the sky
Brown my skin just right
You're so golden
You're so golden
I'm out of my head, and I know that you're scared
Because hearts get broken
I don't want to be alone
I don't want to be alone when it ends
Don't wanna let you know
I don't want to be alone
But I can feel it take a hold (I can feel it take a hold)
I can feel you take control (I can feel you take control)
Of who I am, and all I've ever known
Lovin' is the antidote
Golden
You're so golden
I don't want to be alone
You're so golden
You're so golden
I'm out of my head, and I know that you're scared
Because hearts get broken
I know that you're scared because I'm so open
You're so golden
I don't want to be alone
You're so golden
You're so golden
You're so golden
I'm out of my head, and I know that you're scared
Because hearts get broken"
Watermelon Sugar,2019,Fine Line,2:54,"Tastes like strawberries
On a summer evenin'
And it sounds just like a song
I want more berries
And that summer feelin'
It's so wonderful and warm
Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar
Strawberries on a summer evenin'
Baby, you're the end of June
I want your belly
And that summer feelin'
Getting washed away in you
Breathe me in, breathe me out
I don't know if I could ever go without
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
I just wanna taste it, I just wanna taste it
Watermelon sugar high
Tastes like strawberries
On a summer evenin'
And it sounds just like a song
I want your belly
And that summer feelin'
I don't know if I could ever go without
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high (sugar)
Watermelon sugar high (sugar)
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
I just wanna taste it, I just wanna taste it
Watermelon sugar high
I just wanna taste it, I just wanna taste it
Watermelon sugar high
Watermelon sugar"
Adore You,2019,Fine Line,3:27,"Walk in your rainbow paradise (Paradise)
Strawberry lipstick state of mind (State of mind)
I get so lost inside your eyes
Would you believe it?
You don't have to say you love me
You don't have to say nothing
You don't have to say you're mine
Honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do
Your wonder under summer sky (Summer sky)
Brown skin and lemon over ice
Would you believe it?
You don't have to say you love me
I just wanna tell you somethin'
Lately you've been on my mind
Honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do (Ah-ah-ah)
(It's the only thing I'll ever do)
I'd walk through fire for you (It's the only thing I'll ever do)
Just let me adore you
Oh, honey (Ah-ah-ah), oh, honey
(It's the only thing I'll ever do)
I'd walk through fire for you (It's the only thing I'll ever do)
Just let me adore you (It's the only thing I'll ever do)
Oh-oh-oh-oh
Oh, honey
Oh-oh-oh-oh
Just let me adore you
Like it's the only thing I'll ever do"
Lights Up,2019,Fine Line,2:52,"What do you mean?
I'm sorry by the way
Never coming back down
Can't you see?
I could, but wouldn't stay
Wouldn't put it like that
What do you mean?
I'm sorry by the way
Never coming around
It'd be so sweet if things just stayed the same
La-da-da-da-da
All the lights couldn't put out the dark
Running through my heart
Lights up and they know who you are
Know who you are
Do you know who you are? (Oh)
Shine
Step into the light
Shine
So bright sometimes
Shine
I'm not ever going back
Shine
Step into the light
Shine
So bright sometimes
Shine
I'm not ever going back
Shine
Step into the light
Shine
So bright sometimes
Shine
I'm not ever (Oh)
What do you mean?
I'm sorry by the way
Never going back now
It'd be so sweet if things just stayed the same
La-da-da-da-da
La-da-da-da-da
La-da-da-da-da (Oh)
La-da-da-da-da (Oh)
La-da-da-da-da (Oh)
All the lights couldn't put out the dark
Running through my heart
Lights up and they know who you are
Know who you are
Do you know who you are?"
Cherry,2019,Fine Line,4:19,"Don't you call him ""baby""
We're not talking lately
Don't you call him what you used to call me
I, I confess
I can tell that you are at your best
I'm selfish so I'm hating it
I notice that
There's a piece of you in how I dress
Take it as a compliment
Don't you call him ""baby""
We're not talking lately
Don't you call him what you used to call me
I, I just miss
I just miss your accent and your friends
Did you know I still talk to them?
Does he take you walking 'round his parents' gallery?
Don't you call him ""baby""
We're not talking lately
Don't you call him what you used to call me
Don't you call him ""baby""
We're not talking lately
Don't you call him what you used to call me
Coucou!
Tu dors?
Oh, j'suis désolée
Bah non
Nan c'est pas important
Ouais, on était à la plage, et maintenant
Parfait, ok!"
Falling,2019,Fine Line,4:00,"I'm in my bed
And you're not here
And there's no one to blame
But the drink in my wandering hands
Forget what I said
It's not what I meant
And I can't take it back
I can't unpack the baggage you left
What am I now?
What am I now?
What if I'm someone I don't want around?
I'm fallin' again
I'm fallin' again
I'm fallin'
What if I'm down?
What if I'm out?
What if I'm someone you won't talk about?
I'm fallin' again
I'm fallin' again
I'm fallin'
You said you cared
And you missed me, too
And I'm well aware
I write too many songs about you
And the coffee's out
At the Beachwood Café
And it kills me 'cause I know
We've run out of things we can say
What am I now?
What am I now?
What if I'm someone I don't want around?
I'm fallin' again
I'm fallin' again
I'm fallin'
What if I'm down?
What if I'm out?
What if I'm someone you won't talk about?
I'm fallin' again
I'm fallin' again
I'm fallin'
And I get the feelin' that you'll never need me again
What am I now?
What am I now?
What if you're someone I just want around?
I'm fallin' again
I'm fallin' again
I'm fallin'
What if I'm down?
What if I'm out?
What if I'm someone you won't talk about?
I'm fallin' again
I'm fallin' again
I'm fallin'"
To Be So Lonely,2019,Fine Line,3:12,"Don't blame me for fallin'
I was just a little boy
Don't blame the drunk caller
Wasn't ready for it all
You can't blame me, darling
Not even a little bit
I was away
And I'm just an arrogant son of a bitch
Who can't admit when he's sorry
Don't call me ""baby"" again
You got your reasons
I know that you're tryna be friends
I know you mean it
But don't call me ""baby"" again
It's hard for me to go home
Be so lonely
I just hope you see me
In a little better light
Do you think it's easy
Being of the jealous kind?
'Cause I miss the shape of your lips
Your wit
It's just a trick
And this is it, so I'm sorry
Don't call me ""baby"" again
You got your reasons
I know that you're tryna be friends
I know you mean it
But don't call me ""baby"" again
It's hard for me to go home
Be so lonely
To be so lonely
To be so
To be so lonely
To be so lonely
To be so
To be so lonely
And I'm just an arrogant son of a bitch
Who can't admit when he's sorry
Don't call me ""baby"" again
You got your reasons
I know that you're tryna be friends
I know you mean it
But don't call me ""baby"" again
It's hard for me to go home
And be so lonely
To be so lonely
To be so
To be so lonely
To be so lonely
To be so
To be so lonely"
She,2019,Fine Line,6:03,"Nine in the morning
The man drops his kids off at school
And he's thinking of you
Like all of us do
Sends his assistant for coffee in the afternoon
Around 1:32
Like he knows what to do
She (she)
She lives in daydreams with me (she)
She's the first one that I see
And I don't know why
I don't know who she is (she, she)
He takes a boat out
Imagines just sailing away (away, away)
And not telling his mates (not telling his mates)
He wouldn't know what to say (wouldn't know what to say, to say)
She (she)
She lives in daydreams with me (she)
She's the first one that I see
And I don't know why
I don't know who she is (she)
She (she)
She's the first one that I see (she)
She lives in daydreams with me
And I don't know why
I don't know where she is (she, she)
Lives for the memory
A woman who's just in his head (just in his head)
And she sleeps in his bed (his bed)
While he plays pretend (pretend)
So pretend (pretend)
She (she)
She lives in daydreams with me (she)
She's the first one that I see
And I don't know why
I don't know who she is (she, she)
She (she)
She's the first one that I see (she)
She lives in daydreams with me
And I don't know why
I don't know where she is (she, she)"
"Sunflower, Vol. 6",2019,Fine Line,3:42,"Sunflower
Sunflower
My eyes
Want you more than a melody
Let me inside
Wish I could get to know you
Sunflowers
Sometimes
Keep it sweet in your memory
I was just tongue-tied
And I don't wanna make you feel bad
But I've been trying hard not to talk to you
My sunflower (sunflower, sunflower)
I couldn't want you any more
Kiss in the kitchen like it's a dance floor
I couldn't want you any more tonight (tonight, tonight)
Wondering headshake
Tired eyes are the death of me
Mouth full of toothpaste
Before I got to know you
I've got your face
Hung up high in the gallery
Out of this shade (sunflower, sunflower)
Your flowers just died
Plant new seeds in the melody
Let me inside, I wanna get to know you
I don't wanna make you feel bad
But I've been trying hard not to act a fool
My sunflower (sunflower, sunflower)
I couldn't want you any more
Kiss in the kitchen like it's a dance floor
I couldn't want you any more tonight (tonight, tonight)
I couldn't want you any more
Kids in the kitchen listen to dancehall
I couldn't want you any more tonight
Sunflower
My eyes
Want you more than a melody
Let me inside
Wish I could get to know you
Sunflowers just died
Keep it sweet in your memory
I'm still tongue-tied
Sunflower, sunflower
Sunflower, sunflower
Sunflower, sunflower"
Canyon Moon,2019,Fine Line,3:10,"You gotta see it to believe it
Sky never looked so blue
So hard to leave it
That's what I always do
So I keep thinking back to
A time under the canyon moon
The world's happy waiting
Doors yellow, broken, blue
I heard Jenny saying
""Go get the kids from school""
And I keep thinking back to
A time under the canyon moon
I'll be gone too long from you
Staring at the ceiling
Two weeks and I'll be home
Carry the feeling
Through Paris, all through Rome
And I'm still thinking back to
A time under the canyon moon
I'm going, oh I'm going
I'm going, oh I'm going
I'm going, oh I'm going home
I'm going, oh I'm going
I'm going, oh I'm going
I'm going, oh I'm going home
Quick pause in conversation
She plays songs I've never heard
An old lover's hippie music
Pretends not to know the words
And I keep thinking back to
A time under the canyon moon
I'll be gone too long from you
I'm going, oh I'm going
I'm going, oh I'm going
I'm going, oh I'm going home
I'm going, oh I'm going (I'm going home)
I'm going, oh I'm going (I'm going home)
I'm going, oh I'm going home (I'm going home)
I'm going, oh I'm going (I'm going home)
I'm going, oh I'm going (I'm going home)
I'm going, oh I'm going home"
